"logFC","logCPM","PValue","FDR","ENTREZID","SYMBOL","GENENAME"
1.17314393025189,4.11215067399585,0.000340426788001575,0.00534956381145332,"10891","PPARGC1A","PPARG coactivator 1 alpha"
-3.05564607378722,-0.0609905097161519,2.3281830920322e-08,1.05571852634754e-06,"10896","OCLM","oculomedin"
-1.95465010510876,5.92900937490609,6.0444290297124e-09,3.1157269819078e-07,"10901","DHRS4","dehydrogenase/reductase 4"
-2.57826335779315,1.19274612268891,3.07806265432535e-10,2.09984155557685e-08,"10906","TRAFD1","TRAF-type zinc finger domain containing 1"
-1.36147779244665,3.70735603476756,0.000377627456385846,0.00583256860667022,"10907","TXNL4A","thioredoxin like 4A"
-2.66260035051629,1.72672636266391,5.37146224241681e-08,2.22504354870563e-06,"10911","UTS2","urotensin 2"
-1.13134974509591,0.88830299622567,0.00141178742179168,0.0168870930421388,"10916","MAGED2","MAGE family member D2"
-4.00714482503661,4.62479740597671,5.10675211327719e-17,2.7303309554475e-14,"10926","DBF4","DBF4 zinc finger"
0.910626124328014,5.19100071139818,0.000230971682659436,0.00383673337018817,"10948","STARD3","StAR related lipid transfer domain containing 3"
0.316621600643496,5.8680892429633,0.00584130114810212,0.0492270943529573,"11092","SPACA9","sperm acrosome associated 9"
-1.95357232881267,-1.19120319171285,0.00475208176966436,0.0424768117747215,"11166","SOX21","SRY-box transcription factor 21"
-0.488626132960209,5.34588781022166,0.00435101563089609,0.0397416962075093,"11209","MST1P2","macrophage stimulating 1 pseudogene 2"
-0.594812281939773,4.88962033552045,0.00576902793323016,0.0487968919002802,"11340","EXOSC8","exosome component 8"
-0.877278226090422,3.62068687562381,0.000965359564047402,0.012574286899405,"11344","TWF2","twinfilin actin binding protein 2"
0.836471619834849,6.76370979840781,0.00171135678768103,0.01966221516681,"11363",NA,NA
1.62168143093883,-0.930431507892071,0.00177477001363976,0.0201979880651883,"11414",NA,NA
-2.97941596864308,1.71906254784126,1.13137471794242e-09,6.77351686601463e-08,"11457",NA,NA
-2.67932703505932,0.571393170522905,2.20504641435267e-06,6.49923295717538e-05,"11462",NA,NA
-2.10813478073971,-0.752001778701805,3.45897662724072e-05,0.000755911337074755,"11463",NA,NA
-0.769631225830766,4.21067385478343,8.01967322604919e-05,0.00157448580244979,"11490",NA,NA
-1.230579654299,-0.395172708944681,0.00135085203166053,0.0163797933585841,"11596",NA,NA
-1.39961575967949,2.21793879267653,3.66431832726895e-07,1.27640421733202e-05,"11605",NA,NA
-1.29739870873648,2.34739172943072,0.000110060350640041,0.00205881811327464,"11722",NA,NA
-1.8088908239529,2.21715020136767,0.000428811316471968,0.00644759461457851,"11900",NA,NA
-1.53820688087421,-0.458719653893933,0.000241333694236848,0.00399730665021984,"11901",NA,NA
-3.71533693286263,4.21390365200424,1.97241752333249e-12,2.39925284981026e-10,"11910",NA,NA
0.414475336404993,4.97986943948391,0.00483085473530874,0.0429803987479674,"11918",NA,NA
0.8659104553095,5.18898844787654,0.00197937955478952,0.021888377087355,"11947",NA,NA
0.751521844526226,4.82747008907412,0.00136258251944355,0.0164612570268035,"11974",NA,NA
1.81792235607327,2.27608235441628,0.00257619832090688,0.0267510385716573,"11978",NA,NA
-0.87618508892388,2.96816302595844,0.000462542324173289,0.006856123812214,"12007",NA,NA
-0.724176817000634,1.20562492999799,0.00135160161305697,0.0163802430596625,"12017",NA,NA
